,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Playing Time,Playing Time,Playing Time,Playing Time,Progression,Progression,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,season
,npxG,npxG+xAG,xAG,xG,Ast,G+A,G+A-PK,G-PK,Gls,npxG,npxG+xAG,xAG,xG,xG+xAG,Ast,CrdR,CrdY,G+A,G-PK,Gls,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,Squad,# Pl,Age,Poss,
59,36.8,63.2,26.4,37.5,0.58,1.5,1.47,0.89,0.92,0.97,1.66,0.69,0.99,1.68,22,2.0,62.0,57,34,35,1,1,38.0,38,3420,418,723.0,1283.0,Wolves,26,27.3,49.5,2021-2022
60,47.0,82.1,35.1,51.8,1.0,2.39,2.24,1.24,1.39,1.24,2.16,0.92,1.36,2.29,38,5.0,49.0,91,47,53,6,6,38.0,38,3420,418,758.0,1760.0,Arsenal,29,25.9,53.5,2020-2021
61,47.9,85.3,37.4,52.5,1.0,2.37,2.24,1.24,1.37,1.26,2.25,0.98,1.38,2.37,38,4.0,71.0,90,47,52,5,6,38.0,38,3420,418,629.0,1420.0,Aston Villa,24,25.2,48.5,2020-2021
62,43.8,77.0,33.2,50.9,0.63,1.66,1.5,0.87,1.03,1.15,2.03,0.87,1.34,2.21,24,6.0,49.0,63,33,39,6,9,38.0,38,3420,418,685.0,1516.0,Brighton,27,25.8,51.1,2020-2021
63,36.9,64.6,27.7,39.3,0.53,1.37,1.29,0.76,0.84,0.97,1.7,0.73,1.03,1.76,20,0.0,48.0,52,29,32,3,3,38.0,38,3420,418,389.0,1012.0,Burnley,25,28.3,42.1,2020-2021
64,54.5,96.0,41.5,62.4,1.0,2.47,2.26,1.26,1.47,1.43,2.53,1.09,1.64,2.73,38,3.0,51.0,94,48,56,8,10,38.0,38,3420,418,895.0,1798.0,Chelsea,27,26.0,60.9,2020-2021
65,31.0,54.6,23.6,34.1,0.76,1.79,1.71,0.95,1.03,0.82,1.44,0.62,0.9,1.52,29,2.0,56.0,68,36,39,3,4,38.0,38,3420,418,526.0,1132.0,Crystal Palace,24,29.1,40.6,2020-2021
66,41.9,72.6,30.7,45.7,0.84,2.03,1.92,1.08,1.18,1.1,1.91,0.81,1.2,2.01,32,2.0,59.0,77,41,45,4,5,38.0,38,3420,418,604.0,1184.0,Everton,29,26.3,46.4,2020-2021
67,35.9,62.2,26.3,40.5,0.47,1.16,1.08,0.61,0.68,0.95,1.64,0.69,1.07,1.76,18,3.0,67.0,44,23,26,3,6,38.0,38,3420,418,727.0,1354.0,Fulham,28,25.2,49.7,2020-2021
68,52.5,94.3,41.9,55.6,1.18,2.76,2.66,1.47,1.58,1.38,2.48,1.1,1.46,2.57,45,1.0,61.0,105,56,60,4,4,38.0,38,3420,418,811.0,1633.0,Leeds United,23,26.1,57.3,2020-2021
69,46.3,80.1,33.7,55.8,1.18,2.87,2.61,1.42,1.68,1.22,2.11,0.89,1.47,2.36,45,0.0,61.0,109,54,64,10,12,38.0,38,3420,418,666.0,1464.0,Leicester City,27,26.5,54.3,2020-2021
70,62.9,111.2,48.3,67.5,1.13,2.84,2.68,1.55,1.71,1.66,2.93,1.27,1.78,3.05,43,0.0,40.0,108,59,65,6,6,38.0,38,3420,418,886.0,2057.0,Liverpool,28,26.8,62.1,2020-2021
71,61.2,106.6,45.4,68.2,1.45,3.61,3.47,2.03,2.16,1.61,2.81,1.19,1.8,2.99,55,2.0,46.0,137,77,82,5,9,38.0,38,3420,418,1096.0,2051.0,Manchester City,24,26.1,63.5,2020-2021
72,51.4,93.1,41.6,60.1,1.34,3.18,2.92,1.58,1.84,1.35,2.45,1.1,1.58,2.68,51,1.0,64.0,121,60,70,10,11,38.0,38,3420,418,877.0,1832.0,Manchester Utd,29,25.6,55.7,2020-2021
73,37.8,66.8,29.0,43.4,0.68,1.84,1.68,1.0,1.16,1.0,1.76,0.76,1.14,1.91,26,3.0,65.0,70,38,44,6,7,38.0,38,3420,418,467.0,903.0,Newcastle Utd,27,27.1,38.8,2020-2021
