,Squad,npxG,npxG,npxG+xAG,npxG+xAG,xAG,xAG,xG,xG,Ast,Ast,G+A,G+A,G+A-PK,G-PK,G-PK,Gls,Gls,xG+xAG,CrdR,CrdY,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,# Pl,Age,Poss,Season
600,Tottenham,,,,,,,,,1.17,49,2.64,111,2.6,1.43,60,1.48,62,,2.0,46.0,2,3,42.0,42,3780,458,,,24,26.0,,1994-1995
601,West Ham,,,,,,,,,0.76,32,1.81,76,1.69,0.93,39,1.05,44,,4.0,66.0,5,5,42.0,42,3780,461,,,26,28.0,,1994-1995
602,Wimbledon,,,,,,,,,0.81,34,1.76,74,1.69,0.88,37,0.95,40,,6.0,70.0,3,4,42.0,42,3780,414,,,25,26.7,,1994-1995
603,Arsenal,,,,,,,,,0.64,27,1.83,77,1.74,1.1,46,1.19,50,,1.0,34.0,4,5,42.0,42,3780,452,,,22,27.6,,1993-1994
604,Aston Villa,,,,,,,,,0.67,28,1.74,73,1.67,1.0,42,1.07,45,,1.0,22.0,3,3,42.0,42,3780,458,,,25,27.5,,1993-1994
605,Blackburn,,,,,,,,,1.0,42,2.5,105,2.43,1.43,60,1.5,63,,0.0,29.0,3,4,42.0,42,3780,481,,,22,25.4,,1993-1994
606,Chelsea,,,,,,,,,0.67,28,1.88,79,1.81,1.14,48,1.21,51,,2.0,27.0,3,5,42.0,42,3780,481,,,25,25.7,,1993-1994
607,Coventry City,,,,,,,,,0.6,25,1.62,68,1.55,0.95,40,1.02,43,,0.0,14.0,3,5,42.0,42,3780,466,,,27,26.1,,1993-1994
608,Everton,,,,,,,,,0.55,23,1.57,66,1.5,0.95,40,1.02,43,,0.0,34.0,3,4,42.0,42,3780,467,,,22,27.6,,1993-1994
609,Ipswich Town,,,,,,,,,0.45,19,1.19,50,1.14,0.69,29,0.74,31,,0.0,24.0,2,3,42.0,42,3780,441,,,21,27.9,,1993-1994
610,Leeds United,,,,,,,,,0.9,38,2.4,101,2.38,1.48,62,1.5,63,,0.0,36.0,1,2,42.0,42,3780,468,,,25,26.3,,1993-1994
611,Liverpool,,,,,,,,,0.83,35,2.12,89,2.0,1.17,49,1.29,54,,1.0,31.0,5,7,42.0,42,3780,465,,,23,26.5,,1993-1994
612,Manchester City,,,,,,,,,0.36,15,1.19,50,1.17,0.81,34,0.83,35,,0.0,34.0,1,2,42.0,42,3780,433,,,31,26.0,,1993-1994
613,Manchester Utd,,,,,,,,,1.31,55,3.19,134,3.12,1.81,76,1.88,79,,2.0,31.0,3,3,42.0,42,3780,468,,,23,27.1,,1993-1994
614,Newcastle Utd,,,,,,,,,1.19,50,3.1,130,2.88,1.69,71,1.9,80,,1.0,21.0,9,10,42.0,42,3780,440,,,25,25.9,,1993-1994
615,Norwich City,,,,,,,,,0.93,39,2.45,103,2.43,1.5,63,1.52,64,,2.0,25.0,1,1,42.0,42,3780,470,,,24,27.1,,1993-1994
616,Oldham Athletic,,,,,,,,,0.6,25,1.55,65,1.52,0.93,39,0.95,40,,4.0,32.0,1,2,42.0,42,3780,453,,,27,26.2,,1993-1994
617,QPR,,,,,,,,,0.88,37,2.31,97,2.19,1.31,55,1.43,60,,3.0,27.0,5,6,42.0,42,3780,461,,,22,27.3,,1993-1994
618,Sheffield Utd,,,,,,,,,0.62,26,1.6,67,1.6,0.98,41,0.98,41,,4.0,38.0,0,0,42.0,42,3780,447,,,27,26.3,,1993-1994
619,Sheffield Weds,,,,,,,,,1.12,47,2.81,118,2.76,1.64,69,1.69,71,,2.0,21.0,2,3,42.0,42,3780,450,,,26,26.8,,1993-1994
620,Southampton,,,,,,,,,0.71,30,1.9,80,1.74,1.02,43,1.19,50,,1.0,40.0,7,7,42.0,42,3780,438,,,30,27.0,,1993-1994
621,Swindon Town,,,,,,,,,0.67,28,1.74,73,1.57,0.9,38,1.07,45,,1.0,38.0,7,8,42.0,42,3780,464,,,24,27.4,,1993-1994
622,Tottenham,,,,,,,,,0.74,31,2.0,84,1.95,1.21,51,1.26,53,,1.0,23.0,2,4,42.0,42,3780,485,,,30,25.3,,1993-1994
623,West Ham,,,,,,,,,0.69,29,1.74,73,1.69,1.0,42,1.05,44,,1.0,22.0,2,3,42.0,42,3780,424,,,24,28.4,,1993-1994
624,Wimbledon,,,,,,,,,0.67,28,1.83,77,1.81,1.14,48,1.17,49,,0.0,38.0,1,2,42.0,42,3780,440,,,24,26.4,,1993-1994
625,Arsenal,,,,,,,,,0.81,34,1.76,74,1.76,0.95,40,0.95,40,,1.0,34.0,0,0,42.0,42,3780,462,,,29,26.4,,1992-1993
626,Aston Villa,,,,,,,,,0.98,41,2.31,97,2.26,1.29,54,1.33,56,,0.0,23.0,2,3,42.0,42,3780,462,,,24,27.0,,1992-1993
627,Blackburn,,,,,,,,,1.24,52,2.81,118,2.74,1.5,63,1.57,66,,3.0,37.0,3,4,42.0,42,3780,480,,,24,26.0,,1992-1993
628,Chelsea,,,,,,,,,0.95,40,2.14,90,2.12,1.17,49,1.19,50,,2.0,41.0,1,1,42.0,42,3780,452,,,31,26.3,,1992-1993
629,Coventry City,,,,,,,,,0.64,27,1.79,75,1.74,1.1,46,1.14,48,,1.0,31.0,2,3,42.0,42,3780,453,,,30,26.4,,1992-1993
630,Crystal Palace,,,,,,,,,0.71,30,1.79,75,1.79,1.07,45,1.07,45,,3.0,27.0,0,1,42.0,42,3780,457,,,23,25.1,,1992-1993
631,Everton,,,,,,,,,0.79,33,2.0,84,1.9,1.12,47,1.21,51,,3.0,26.0,4,4,42.0,42,3780,462,,,26,27.9,,1992-1993
632,Ipswich Town,,,,,,,,,0.69,29,1.88,79,1.79,1.1,46,1.19,50,,1.0,31.0,4,5,42.0,42,3780,462,,,22,27.5,,1992-1993
633,Leeds United,,,,,,,,,0.83,35,2.14,90,2.02,1.19,50,1.31,55,,0.0,40.0,5,5,42.0,42,3780,461,,,30,27.0,,1992-1993
634,Liverpool,,,,,,,,,1.07,45,2.52,106,2.33,1.26,53,1.45,61,,3.0,26.0,8,9,42.0,42,3780,462,,,25,25.7,,1992-1993
635,Manchester City,,,,,,,,,1.0,42,2.26,95,2.19,1.19,50,1.26,53,,1.0,43.0,3,4,42.0,42,3780,461,,,23,26.3,,1992-1993
636,Manchester Utd,,,,,,,,,0.83,35,2.4,101,2.36,1.52,64,1.57,66,,0.0,28.0,2,2,42.0,42,3780,461,,,20,26.6,,1992-1993
637,Middlesbrough,,,,,,,,,0.93,39,2.1,88,2.07,1.14,48,1.17,49,,2.0,42.0,1,2,42.0,42,3780,468,,,26,26.6,,1992-1993
638,Norwich City,,,,,,,,,1.02,43,2.4,101,2.33,1.31,55,1.38,58,,0.0,19.0,3,4,42.0,42,3780,455,,,20,26.4,,1992-1993
639,Nott'ham Forest,,,,,,,,,0.71,30,1.69,71,1.6,0.88,37,0.98,41,,1.0,22.0,4,5,42.0,42,3780,458,,,23,25.1,,1992-1993
640,Oldham Athletic,,,,,,,,,1.0,42,2.45,103,2.43,1.43,60,1.45,61,,0.0,35.0,1,2,42.0,42,3780,466,,,24,25.5,,1992-1993
641,QPR,,,,,,,,,1.07,45,2.52,106,2.45,1.38,58,1.45,61,,0.0,30.0,3,4,42.0,42,3780,455,,,23,26.6,,1992-1993
642,Sheffield Utd,,,,,,,,,0.86,36,2.05,86,2.02,1.17,49,1.19,50,,4.0,53.0,1,2,42.0,42,3780,440,,,23,25.8,,1992-1993
643,Sheffield Weds,,,,,,,,,0.95,40,2.24,94,2.17,1.21,51,1.29,54,,1.0,31.0,3,3,42.0,42,3780,463,,,25,27.8,,1992-1993
644,Southampton,,,,,,,,,0.9,38,2.19,92,2.14,1.24,52,1.29,54,,3.0,51.0,2,2,42.0,42,3780,455,,,25,26.3,,1992-1993
645,Tottenham,,,,,,,,,0.79,33,2.17,91,2.17,1.38,58,1.38,58,,1.0,36.0,0,0,42.0,42,3780,454,,,31,24.9,,1992-1993
646,Wimbledon,,,,,,,,,0.95,40,2.24,94,2.19,1.24,52,1.29,54,,3.0,48.0,2,3,42.0,42,3780,452,,,27,25.9,,1992-1993
